Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2024,BK0101,Greenpoint,846357.429014968,0.12,0.07,0.12,5.24287932147776,89
2024,BK0102,Williamsburg,1320190.80395303,0.16,0.06,0.13,6.01022316126955,33
2024,BK0103,South Williamsburg,1041816.43538328,0.14,0.09,0.08,6.16822447896195,28
2024,BK0104,East Williamsburg,3662415.68523959,0.35,0.06,0.12,8.28261390474052,1
2024,BK0201,Brooklyn Heights,328348.686293237,0.09,0.04,0.10,4.30632921294627,166
2024,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,-24518.8448748302,0.14,0.06,0.14,4.19761447449179,172
2024,BK0203,Fort Greene,206956.359068725,0.16,0.08,0.11,5.24966435592197,86
2024,BK0204,Clinton Hill,340224.071777244,0.16,0.08,0.10,5.33938203424585,81
2024,BK0301,Bedford-Stuyvesant (West),135253.042853221,0.15,0.08,0.10,5.48394921641926,66
2024,BK0302,Bedford-Stuyvesant (East),-2465969.34667815,0.17,0.09,0.10,3.48318896302425,188
2024,BK0401,Bushwick (West),691761.97229002,0.16,0.07,0.16,5.80784492777012,47
2024,BK0402,Bushwick (East),-385010.728810495,0.15,0.08,0.14,4.96678198773517,112
2024,BK0501,Cypress Hills,-1169838.36843192,0.14,0.05,0.17,4.17760534385923,174
2024,BK0502,East New York (North),-1531324.22182132,0.16,0.10,0.14,4.07825294278244,177
2024,BK0503,East New York-New Lots,-420361.719375465,0.19,0.12,0.13,5.4163456083237,73
2024,BK0504,Spring Creek-Starrett City,-6786.62918057374,0.17,0.08,0.08,5.33647361383399,82
2024,BK0505,East New York-City Line,-887950.638466444,0.15,0.06,0.13,4.38753256638439,160
2024,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,657390.95234301,0.17,0.07,0.11,5.38948829774023,76
